area,kind,methods,path,handler,pre_deploy_status,post_data_status,notes
Authentication UI,ui-route,GET,/,serve_index,PENDING,PENDING,
Core UI,ui-route,GET,/activities,serve_activities,PENDING,PENDING,
Core UI,ui-route,GET,/activities.html,serve_activities,PENDING,PENDING,
Core UI,ui-route,GET,/agenda,serve_agenda,PENDING,PENDING,
Core UI,ui-route,GET,/agenda.html,serve_agenda,PENDING,PENDING,
Core UI,ui-route,GET,/analytics,serve_analytics,PENDING,PENDING,
Core UI,ui-route,GET,/analytics.html,serve_analytics,PENDING,PENDING,
AI Pipeline,api,POST,/api/ai/artifacts,create_artifact,PENDING,PENDING,
AI Pipeline,api,POST,/api/ai/briefs/{person_id},store_brief,PENDING,PENDING,
AI Pipeline,api,POST,/api/ai/feedback,log_feedback,PENDING,PENDING,
AI Pipeline,api,GET,/api/ai/jobs/person/{person_id},list_person_ai_jobs,PENDING,PENDING,
AI Pipeline,api,GET,/api/ai/jobs/{job_id},get_ai_job,PENDING,PENDING,
AI Pipeline,api,POST,/api/ai/jobs/{job_id}/retry,retry_ai_job,PENDING,PENDING,
AI Pipeline,api,GET,/api/ai/ops/summary,ops_summary,PENDING,PENDING,
AI Pipeline,api,POST,/api/ai/profile-match/suggest,suggest_profile_match,PENDING,PENDING,
AI Pipeline,api,GET,/api/ai/review-queue,review_queue,PENDING,PENDING,
AI Pipeline,api,POST,/api/ai/signals,create_signal,PENDING,PENDING,
AI Pipeline,api,GET,/api/ai/signals/{person_id},get_signals,PENDING,PENDING,
AI Pipeline,api,PATCH,/api/ai/signals/{signal_id}/status,update_signal_status,PENDING,PENDING,
Analytics,api,GET,/api/analytics/effort-stats,get_effort_stats,PENDING,PENDING,
Analytics,api,GET,/api/analytics/influence-matrix,get_influence_matrix,PENDING,PENDING,
Analytics,api,GET,/api/analytics/network-pulse,get_network_pulse,PENDING,PENDING,
Analytics,api,GET,/api/analytics/profile-growth-stats,get_profile_growth_stats,PENDING,PENDING,
Analytics,api,GET,/api/analytics/propensity/{person_id},get_person_propensity,PENDING,PENDING,
Analytics,api,GET,/api/analytics/success-report,get_success_report,PENDING,PENDING,
Authentication,api,POST,/api/auth/login,login,PENDING,PENDING,
Authentication,api,POST,/api/auth/logout,logout,PENDING,PENDING,
Authentication,api,GET,/api/auth/me,get_me,PENDING,PENDING,
Authentication,api,GET,/api/auth/microsoft/callback,microsoft_callback,PENDING,PENDING,
